hcp_id,hcp_name,territory_id,specialty,prescriber_tier,monthly_rx_volume,years_in_practice,hospital_affiliation,digital_engagement
H0385,Dr. Harrison,T034,Oncologist,B,43,13,Community,Medium
H0386,Dr. Ortiz,T033,General Practitioner,B,44,25,Private Practice,Low
H0387,Dr. Morris,T030,Immunologist,A,87,30,Community,Low
H0388,Dr. Garcia,T038,General Practitioner,C,15,26,Private Practice,Low
H0389,Dr. Martin,T008,Immunologist,C,13,27,Academic,Medium
H0390,Dr. Jenkins,T045,Pulmonologist,B,17,2,Group Practice,Medium
H0391,Dr. Simpson,T045,Oncologist,B,25,21,Private Practice,Low
H0392,Dr. Bates,T002,General Practitioner,B,28,29,Community,Medium
H0393,Dr. Morales,T041,Cardiologist,C,3,17,Private Practice,High
H0394,Dr. Hodges,T007,Neurologist,B,35,18,Private Practice,High
H0395,Dr. Johnson,T016,Internist,C,16,29,Private Practice,Medium
H0396,Dr. Miller,T037,Endocrinologist,B,35,13,Community,High
H0397,Dr. King,T008,Cardiologist,C,6,28,Community,Medium
H0398,Dr. Wilson,T041,Pulmonologist,C,17,31,Community,High
H0399,Dr. Barton,T042,Endocrinologist,B,34,7,Community,High
H0400,Dr. Hancock,T024,Neurologist,C,6,8,Group Practice,Medium
H0401,Dr. Bryan,T001,Neurologist,A,106,33,Academic,Medium
H0402,Dr. Smith,T014,Oncologist,C,13,33,Private Practice,Medium
H0403,Dr. Booth,T030,Endocrinologist,B,15,26,Community,High
H0404,Dr. Murray,T050,Oncologist,C,6,34,Private Practice,High
H0405,Dr. Brown,T030,Cardiologist,C,14,8,Private Practice,Medium
H0406,Dr. Stone,T013,Immunologist,C,10,13,Group Practice,Medium
H0407,Dr. Dean,T030,Immunologist,C,14,17,Community,Medium
H0408,Dr. Jimenez,T026,Immunologist,B,23,17,Community,Medium
H0409,Dr. Ramos,T038,Endocrinologist,A,107,14,Community,Low
H0410,Dr. Williams,T005,Immunologist,B,17,8,Academic,Medium
H0411,Dr. Adams,T038,Cardiologist,A,104,10,Community,Medium
H0412,Dr. Anderson,T026,Oncologist,C,9,33,Community,Medium
H0413,Dr. Roberts,T049,Endocrinologist,B,27,12,Community,Medium
H0414,Dr. Gilmore,T017,Oncologist,C,8,9,Private Practice,Medium
H0415,Dr. Washington,T030,Endocrinologist,C,16,34,Community,Medium
H0416,Dr. Johnson,T047,Oncologist,C,9,24,Community,Low
H0417,Dr. Mccoy,T005,Neurologist,A,115,26,Community,High
H0418,Dr. Lloyd,T048,Oncologist,C,7,9,Private Practice,High
H0419,Dr. Mckinney,T034,Immunologist,C,13,23,Group Practice,Medium
H0420,Dr. Collins,T003,Neurologist,B,28,5,Private Practice,Low
H0421,Dr. Smith,T015,Oncologist,C,16,4,Private Practice,High
H0422,Dr. Russell,T035,Endocrinologist,C,16,30,Community,Low
H0423,Dr. Walker,T003,Endocrinologist,A,58,30,Private Practice,Medium
H0424,Dr. Skinner,T028,Internist,B,40,29,Community,Low
H0425,Dr. Wilson,T017,Endocrinologist,B,34,14,Community,Low
H0426,Dr. Valentine,T030,Pulmonologist,A,61,16,Private Practice,Medium
H0427,Dr. Holland,T003,Cardiologist,B,22,24,Group Practice,High
H0428,Dr. Moore,T045,Endocrinologist,A,60,27,Academic,High
H0429,Dr. Cantu,T049,Neurologist,A,90,5,Private Practice,High
H0430,Dr. Carter,T049,Internist,A,77,27,Private Practice,Low
H0431,Dr. Thornton,T037,Endocrinologist,C,5,10,Academic,High
H0432,Dr. Perry,T007,Pulmonologist,B,39,6,Community,Medium
H0433,Dr. Olson,T038,Immunologist,C,14,33,Community,Medium
H0434,Dr. Kennedy,T002,Neurologist,B,33,21,Academic,Low
H0435,Dr. Bryant,T002,Pulmonologist,B,18,12,Community,High
H0436,Dr. Thomas,T016,Immunologist,B,37,16,Community,High
H0437,Dr. Lee,T023,General Practitioner,B,21,33,Community,High
H0438,Dr. Greene,T038,General Practitioner,A,67,29,Private Practice,Low
H0439,Dr. Francis,T033,Neurologist,C,5,23,Private Practice,Medium
H0440,Dr. Taylor,T022,Oncologist,B,36,18,Group Practice,High
H0441,Dr. Jones,T014,Cardiologist,C,13,27,Community,High
H0442,Dr. Barton,T050,Internist,C,14,8,Private Practice,High
H0443,Dr. Dickerson,T021,Cardiologist,A,106,27,Group Practice,High
H0444,Dr. Morgan,T022,Pulmonologist,A,105,26,Private Practice,Low
H0445,Dr. French,T008,Immunologist,C,9,11,Community,Low
H0446,Dr. Adams,T039,Cardiologist,B,16,20,Private Practice,Medium
H0447,Dr. Smith,T034,Immunologist,A,94,12,Community,Low
H0448,Dr. Barber,T011,Immunologist,C,10,14,Community,High
H0449,Dr. Monroe,T004,Pulmonologist,A,40,9,Private Practice,Low
H0450,Dr. Carpenter,T033,Pulmonologist,C,9,5,Private Practice,Low
H0451,Dr. Keller,T031,Pulmonologist,C,8,32,Academic,Medium
H0452,Dr. Grimes,T014,Cardiologist,B,20,29,Group Practice,Low
H0453,Dr. Griffin,T048,General Practitioner,A,45,12,Private Practice,High
H0454,Dr. Washington,T008,Pulmonologist,A,64,2,Community,High
H0455,Dr. Cook,T021,Internist,B,32,25,Group Practice,High
H0456,Dr. Hines,T048,Cardiologist,A,56,32,Community,Medium
H0457,Dr. Bennett,T021,Pulmonologist,C,14,27,Group Practice,Low
H0458,Dr. Cantu,T030,Endocrinologist,A,51,6,Private Practice,Low
H0459,Dr. Kane,T020,Immunologist,B,20,21,Academic,Medium
H0460,Dr. Pollard,T014,Internist,C,11,12,Private Practice,Low
H0461,Dr. Allen,T050,Pulmonologist,C,12,34,Private Practice,Low
H0462,Dr. Reyes,T020,Neurologist,C,9,28,Private Practice,High
H0463,Dr. Chase,T046,Immunologist,B,33,16,Group Practice,Medium
H0464,Dr. Jenkins,T012,Immunologist,C,13,33,Private Practice,High
H0465,Dr. Flores,T011,Pulmonologist,B,24,22,Private Practice,Medium
H0466,Dr. Kennedy,T002,General Practitioner,B,15,6,Group Practice,Low
H0467,Dr. Mcintyre,T031,Oncologist,A,96,7,Private Practice,High
H0468,Dr. James,T018,General Practitioner,C,14,23,Community,Low
H0469,Dr. Mcneil,T044,Pulmonologist,B,27,19,Group Practice,Medium
H0470,Dr. Sparks,T023,Immunologist,A,79,15,Community,Medium
H0471,Dr. Pearson,T049,Internist,B,28,11,Private Practice,Medium
H0472,Dr. Hernandez,T009,Neurologist,B,17,14,Group Practice,Medium
H0473,Dr. Hanna,T044,Internist,C,17,32,Private Practice,High
H0474,Dr. Martinez,T038,Internist,C,14,31,Private Practice,High
H0475,Dr. Sanford,T038,Immunologist,C,5,4,Private Practice,High
H0476,Dr. Rivera,T043,General Practitioner,A,95,31,Community,Medium
H0477,Dr. Garcia,T038,Neurologist,B,31,7,Group Practice,High
H0478,Dr. Kirk,T030,Cardiologist,B,27,30,Community,Low
H0479,Dr. Garcia,T007,Endocrinologist,A,100,9,Academic,Medium
H0480,Dr. Lozano,T002,Immunologist,B,20,34,Community,Medium
H0481,Dr. Smith,T047,Pulmonologist,C,2,18,Private Practice,Medium
H0482,Dr. Thomas,T030,Cardiologist,A,85,12,Private Practice,Medium
H0483,Dr. Pitts,T039,Endocrinologist,B,31,14,Private Practice,Low
H0484,Dr. Booker,T023,Pulmonologist,B,44,12,Community,High
H0485,Dr. Jones,T006,Internist,A,47,32,Community,High
H0486,Dr. Harrington,T006,Oncologist,B,25,29,Academic,Low
H0487,Dr. Baker,T033,Pulmonologist,C,5,7,Community,High
H0488,Dr. Hanson,T021,Neurologist,C,13,17,Private Practice,High
H0489,Dr. Sanders,T010,Neurologist,C,2,5,Academic,Medium
H0490,Dr. Miller,T023,Oncologist,B,40,27,Community,High
H0491,Dr. Murphy,T003,Cardiologist,A,78,13,Community,Medium
H0492,Dr. Craig,T028,Endocrinologist,B,35,12,Academic,High
H0493,Dr. Ferguson,T014,Pulmonologist,B,35,26,Community,Low
H0494,Dr. Finley,T039,Neurologist,C,2,19,Academic,Low
H0495,Dr. Sims,T015,Cardiologist,A,103,20,Private Practice,Medium
H0496,Dr. Clay,T022,Oncologist,B,44,24,Private Practice,Medium
H0497,Dr. Freeman,T001,General Practitioner,A,93,19,Private Practice,Low
H0498,Dr. Weaver,T004,Immunologist,B,44,27,Group Practice,High
H0499,Dr. Williamson,T019,General Practitioner,C,10,7,Community,Low
H0500,Dr. Young,T023,General Practitioner,B,23,5,Private Practice,Low
